Name
All We Imagine as Light
Guzaarish
The Count of Monte Cristo
The Conversation
Mikey and Nicky
Raincoat
Reprise
All About Eve
Sunset Boulevard
The Treasure of the Sierra Madre
The Maltese Falcon
Dekalog
News from Home
Manthan
Thalapathi
Hey Ram
Sapta Sagaradaache Ello – Side A
Sapta Sagaradaache Ello - Side B
L.A. Confidential
Maelström
August 32nd on Earth
There Is No Evil
The Seed of the Sacred Fig
The Girl with the Needle
The Holy Mountain
El Topo
Ugly
Shaurya
Bramayugam
The Secret Life of Walter Mitty
Paris Je T'aime
Clue
The House That Jack Built
Irreversible
Detachment
Don't Cry for Salim the Lame
Albert Pinto Ko Gussa Kyoon Aata Hai
Arvind Desai Ki Ajeeb Dastaan
The Third Man
Out of the Past
Gilda
Touch of Evil
The Big Sleep
"The Gangster, the Cop, the Devil"
The Outlaws
The Roundup
The Roundup: No Way Out
The Roundup: Punishment
The Deer Hunter
Being Cyrus
Orpheus
A Brief History of Time
The Life of Chuck
The Tragedy of Macbeth
The Trial
Companion
Shadow of the Vampire
"Spring, Summer, Fall, Winter... and Spring"
Lion
Chalte Chalte
The Father
The Son
Zack and Miri Make a Porno
Ek Hasina Thi
Newton
Masoom
Bandit Queen
Ittefaq
Deewaar
Zanjeer
Silsila
Camera Buff
The Double Life of Véronique
Frances Ha
Tokyo Story
Tron
TRON: Legacy
The Hurt Locker
Pakeezah
Late Night with the Devil
Dracula: Dead and Loving It
Ram Singh Charlie
Extreme Job
Aamis
Atonement
Aakrosh
Sadma
The Tree of Life
Pulse
The Choral
Eddington
The Zone of Interest
The Holdovers
Apollo 10½: A Space Age Childhood
I Know This Much Is True
Roofman
The Running Man
Honey Don't!
Inherent Vice
Inherit the Wind
Eternity
If I Had Legs I'd Kick You
One Life
Freud's Last Session
Amélie
City of Women
City of God
The Smashing Machine
Mother Mary
The Killing of a Sacred Deer
Titli
Kumbalangi Nights
A Death in the Gunj
Doctor Zhivago
Court
Mr. Nobody
Twelve Monkeys
Is This Thing On?
Bring Her Back
No Other Choice
Hamnet
It Was Just an Accident
Anemone
Jerry & Marge Go Large
Dead Man's Wire
All of Us Strangers
The Voice of Hind Rajab
Love Aaj Kal
Badlapur
Battle Royale
The Conjuring
"Play It Again, Sam"
Nishaanchi
Rosemary's Baby
The Fable
Sarkar
When Nietzsche Wept
Do Ankhen Barah Haath
Gandhi
The Making of the Mahatma
Let's Get Lost
The Rocky Horror Picture Show
Frankenstein
Super 8
Famous in Ahmedabad
Sing Street
Empire of the Sun
Arohan
Bawarchi
Namak Haraam
The Princess Bride
Joint Security Area
The Man Who Shot Liberty Valance
Breathless
The 400 Blows
Day for Night
Cléo from 5 to 7
Beautiful Boy
Company
Khosla Ka Ghosla!
"LSD: Love, Sex aur Dhokha"
The Incident
Laal Kaptaan
Manorama Six Feet Under
NH10
Sirāt
The Secret Agent
