Name
Comet
I Carry You with Me
Portrait of a Lady on Fire
Walk Run Cha-Cha
Burning
Annie Hall
Anomalisa
Manhattan
Never Let Me Go
Love & Other Drugs
A Thief's Daughter
The Danish Girl
On Body and Soul
The Double Life of Véronique
Gloria Bell
For Sama
Jeune Femme
Mistress America
Landline
Victoria
Frame by Frame
Dreamcatcher
I Believe in Unicorns
Kedi
Landscape in the Mist
The Meetings of Anna
Brooklyn
Palo Alto
Too Late
Already Tomorrow in Hong Kong
Moonlight
Asako I & II
On the Beach at Night Alone
The Past
About Elly
Bright Star
Love Story
Trouble Every Day
Bird People
If Beale Street Could Talk
Zola
Never Goin' Back
Official Secrets
The New Romantic
In the Fade
Marlina the Murderer in Four Acts
In Syria
Léa & I
Your Girlfriend
Go Home
Half Moon
Keith
Copenhagen
And While We Were Here
Southside with You
Bianca
Breathless
Smashed
Blue Jay
Us and Them
Flames
Bangkok Nites
Breathe
Diving
Fireworks Wednesday
Hala
The Bridges of Madison County
The Invisible Man
Good Posture
Coming Home
The Party
"Two Days, One Night"
Three Colours: Red
Three Colours: White
Three Colours: Blue
"Kim Ji-young, Born 1982"
Microhabitat
The Body Remembers When the World Broke Open
Lilting
Shirley
Time Regained
Tremble All You Want
Girlhood
Paradise: Faith
Ammonite
Tenet
Foxfire
Natalie Wood: What Remains Behind
First Cow
Victor in Paradise
Saint Maud
Operation Finale
Upstream Color
Talk to Her
A Fantastic Woman
Pariah
Cléo from 5 to 7
Force of Habit
Haasil
Close-Up
Obvious Child
The Summer of Sangaile
Kairat
Aviva
Pather Panchali
Private Life
Bend It Like Beckham
Bride & Prejudice
L'Argent
Gypsy
Losing It
Maayavan
A Wedding
Love Mocktail
Jaanu
Varane Avashyamund
Malli Raava
Mahanati
Kerala Cafe
Barry Lyndon
Once
Little Forest: Winter/Spring
Soul
Bridget Jones's Diary
Pink Wall
L'échappée
Spencer
"tick, tick... BOOM!"
Lucky Chan-sil
"The French Dispatch of the Liberty, Kansas Evening Sun"
Insidious
Wheel of Fortune and Fantasy
A Man and a Woman
Late Spring
My Mother
Our Kind of Love
You're My Home
The Virgin Spring
Little Miss Sunshine
"A Girl, She Is 100%"
House of Hummingbird
Il Mare
The Worst Person in the World
Capernaum
Tune in for Love
The Fallout
Dor
Kahaani
Varudu Kaavalenu
A Week Away
Most Eligible Bachelor
The Priest
Belfast
Run Lola Run
Sweater
The Japanese Wife
15 Park Avenue
A Beautiful Mind
Zubeidaa
Benediction
Okkadu
The Staircase
Blue Moon
Eternity
Shithouse
Stealing Beauty
Jayeshbhai Jordaar
Vikram
The Woman Who Ran
Ritual
Where Is the Friend's House?
Yi Yi
The Piano Teacher
The Classic
Phantom Thread
The Young Girls of Rochefort
Anand
The Truman Show
Kadhalum Kadanthu Pogum
Taramani
"Mary Is Happy, Mary Is Happy."
Take Care of My Cat
A Wife's Heart
Ha Ha Ha
"Belfast, Maine"
All About Lily Chou-Chou
Not Okay
Tadaima
The Cloud in Her Room
Inside the Mind of a Cat
Made You Look: A True Story About Fake Art
Mouna Raagam
Ordinary Love
Sunday Bloody Sunday
Werewolf by Night
Ammu
The Novelist's Film
Jennifer's Body
The Witch: Part 1. The Subversion
The Shape of Things
China Moon
Carol
"That Day, on the Beach"
"Like Father, Like Son"
A Bride for Rip Van Winkle
Triangle of Sadness
Petite Maman
Memoria
Aicha
Circus of Life
Aurora's Sunrise
Somebody
My SO Has Got Depression
Nayakan
Ikiru
Anjali
Tokyo Sonata
"Life, and Nothing More…"
"Paris, 13th District"
Arab Blues
Still Walking
Uncle Boonmee Who Can Recall His Past Lives
Happy Hour
Into the Wild
"Norte, the End of History"
From What Is Before
Laurence Anyways
An Elephant Sitting Still
Only You
Happening
No Crying at the Dinner Table
White Noise
Broker
War
DAMaN
A Summer at Grandpa's
A Confucian Confusion
A City of Sadness
Millennium Mambo
She Said
The Moon Also Rises
Leila
Bread of Happiness
In Our Time
Every Day a Good Day
Tokyo Story
Nanpakal Nerathu Mayakkam
Vaalvi
Le Pupille
Portrait of God
Corsage
Licorice Pizza
I ♥ Huckabees
Shang-Chi and the Legend of the Ten Rings
Machan
You Can Live Forever
The Quiet Girl
Beginning
Apostasy
Uitgesloten
"Oslo, August 31st"
New Delhi
Ariyippu
Jigarthanda
Angamaly Diaries
Munnariyippu
Dev.D
Kattradhu Thamizh
Black
Earth
Sarfarosh
Andaz Apna Apna
Darr
Maqbool
Omkara
Haider
Peranbu
Shahid
Jonaki
My Name Is Khan
An Action Hero
Annayum Rasoolum
A Moment of Innocence
This Is Not a Film
Three Days
Flowing
Hotel Salvation
Love in the Afternoon
The Passenger
Party Girl
The Whale
Eureka
Claire's Camera
Steve Jobs
The Souvenir: Part II
The Souvenir
Basmati Blues
13 Going on 30
2 Days in New York
I Hate But Love
Puccini for Beginners
All About You
The Witch
Minority Report
Suspiria
Anantaram
Paprika
The Matrix
The Prestige
Dunkirk
The Broken Circle Breakdown
Doubt
The Terminal
Solino
Same Same But Different
Sherrybaby
It's a Jungle Out There
"Good Bye, Lenin!"
Faust
Elena
Facing Windows
Rosetta
Miss Marx
We're All Going to the World's Fair
Eighth Grade
Coma
My Mulholland
Me and You and Everyone We Know
A Radiant Girl
Helter Skelter
Doubt
"To Sir, with Love"
Postman Blues
Little Forest: Summer/Autumn
Little Forest
